category_id,sku,sku_type,associated,coursename,meta_title,meta_description,image,small_image,thumbnail,country_of_manufacture,course_id,copyright_year,content_length,course_parts,num_lecture,course_type_code,primary_subject,package_subject,professor_information,guidebook,url_key,price,special_price,status,clearance_flag,media_format,free_streaming,coursedescription,short_description,meta_keyword,product_name,media_gallery,categories,related,upsell,crosssell,digital_transcript_sku,digital_transcript_price,physical_transcript_sku,physical_transcript_price,transcript_price
,1087,1,"DV1087,PD1087",Set: SuperStar Student & Optimizing Brain Fitness,Set: SuperStar Student & Optimizing Brain Fitness,,,,,United States,1087,0,0,2.5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: SuperStar Student & Optimizing Brain Fitness,,"Courses,Lectures",,,,,0,,0,0
,DV1089,1,"DV1012,DV1280",Set: Chemistry & Physics and Our Universe,Set: Chemistry & Physics and Our Universe,,,,,United States,1089,0,0,8,96,0,910,910,,,,0,0,Enabled,No,Video Download,No,,,,Set: Chemistry & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,PD1089,1,"PD1012,PD1280",Set: Chemistry & Physics and Our Universe,Set: Chemistry & Physics and Our Universe,,,,,United States,1089,0,0,8,96,0,910,910,,,,0,0,Enabled,No,DVD,No,,,,Set: Chemistry & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,1089,1,"DV1089,PD1089",Set: Chemistry & Physics and Our Universe,Set: Chemistry & Physics and Our Universe,,,,,United States,1089,0,0,8,96,0,910,910,,,,0,0,Enabled,No,,No,,,,Set: Chemistry & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,DV1092,1,"DV1005,DV1007",Set: Mathematics Describing the Real World & Understanding C,Set: Mathematics Describing the Real World & Understanding C,,,,,United States,1092,0,0,6,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Mathematics Describing the Real World & Understanding C,,"Courses,Lectures",,,,,0,,0,0
,PD1092,1,"PD1005,PD1007",Set: Mathematics Describing the Real World & Understanding C,Set: Mathematics Describing the Real World & Understanding C,,,,,United States,1092,0,0,6,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mathematics Describing the Real World & Understanding C,,"Courses,Lectures",,,,,0,,0,0
,1092,1,"DV1092,PD1092",Set: Mathematics Describing the Real World & Understanding C,Set: Mathematics Describing the Real World & Understanding C,,,,,United States,1092,0,0,6,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Mathematics Describing the Real World & Understanding C,,"Courses,Lectures",,,,,0,,0,0
,PD1093,1,"PD1001,PD1005",Set: Mathematics Describing the Real World & Algebra I,Set: Mathematics Describing the Real World & Algebra I,,,,,United States,1093,0,0,6,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mathematics Describing the Real World & Algebra I,,"Courses,Lectures",,,,,0,,0,0
,1093,1,PD1093,Set: Mathematics Describing the Real World & Algebra I,Set: Mathematics Describing the Real World & Algebra I,,,,,United States,1093,0,0,6,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Mathematics Describing the Real World & Algebra I,,"Courses,Lectures",,,,,0,,0,0
,PD1094,1,"PD1005,PD1447",Set: Mathematics Describing the Real World & Mathematics fro,Set: Mathematics Describing the Real World & Mathematics fro,,,,,United States,1094,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mathematics Describing the Real World & Mathematics fro,,"Courses,Lectures",,,,,0,,0,0
,1094,1,PD1094,Set: Mathematics Describing the Real World & Mathematics fro,Set: Mathematics Describing the Real World & Mathematics fro,,,,,United States,1094,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Mathematics Describing the Real World & Mathematics fro,,"Courses,Lectures",,,,,0,,0,0
,DV1095,1,"DV1005,DV1406",Set: Mathematics Describing the Real World & Secrets of Ment,Set: Mathematics Describing the Real World & Secrets of Ment,,,,,United States,1095,0,0,4,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Mathematics Describing the Real World & Secrets of Ment,,"Courses,Lectures",,,,,0,,0,0
,PD1095,1,"PD1005,PD1406",Set: Mathematics Describing the Real World & Secrets of Ment,Set: Mathematics Describing the Real World & Secrets of Ment,,,,,United States,1095,0,0,4,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mathematics Describing the Real World & Secrets of Ment,,"Courses,Lectures",,,,,0,,0,0
,1095,1,"DV1095,PD1095",Set: Mathematics Describing the Real World & Secrets of Ment,Set: Mathematics Describing the Real World & Secrets of Ment,,,,,United States,1095,0,0,4,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Mathematics Describing the Real World & Secrets of Ment,,"Courses,Lectures",,,,,0,,0,0
,PD1096,1,"PD1005,PD177",Set: Mathematics Describing the Real World & Change and Moti,Set: Mathematics Describing the Real World & Change and Moti,,,,,United States,1096,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Mathematics Describing the Real World & Change and Moti,,"Courses,Lectures",,,,,0,,0,0
,1096,1,PD1096,Set: Mathematics Describing the Real World & Change and Moti,Set: Mathematics Describing the Real World & Change and Moti,,,,,United States,1096,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Mathematics Describing the Real World & Change and Moti,,"Courses,Lectures",,,,,0,,0,0
,DV1097,1,"DV1007,DV1452",Set: Differential Equations Made Easy & Understanding Calcul,Set: Differential Equations Made Easy & Understanding Calcul,,,,,United States,1097,0,0,5,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Differential Equations Made Easy & Understanding Calcul,,"Courses,Lectures",,,,,0,,0,0
,PD1097,1,"PD1007,PD1452",Set: Differential Equations Made Easy & Understanding Calcul,Set: Differential Equations Made Easy & Understanding Calcul,,,,,United States,1097,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Differential Equations Made Easy & Understanding Calcul,,"Courses,Lectures",,,,,0,,0,0
,1097,1,"DV1097,PD1097",Set: Differential Equations Made Easy & Understanding Calcul,Set: Differential Equations Made Easy & Understanding Calcul,,,,,United States,1097,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Differential Equations Made Easy & Understanding Calcul,,"Courses,Lectures",,,,,0,,0,0
,PD1098,1,"PD1005,PD1007,PD1018","Set: Precalculus, Understanding Calculus I & II","Set: Precalculus, Understanding Calculus I & II",,,,,United States,1098,2013,3240,9,108,0,902,902,,,,0,0,Enabled,No,DVD,No,,,,"Set: Precalculus, Understanding Calculus I & II",,"Courses,Lectures",,,,,0,,0,0
,DV1098,1,"DV1005,DV1007,DV1018","Set: Precalculus, Understanding Calculus I & II","Set: Precalculus, Understanding Calculus I & II",,,,,United States,1098,2013,3240,9,108,0,902,902,,,,0,0,Enabled,No,Video Download,No,,,,"Set: Precalculus, Understanding Calculus I & II",,"Courses,Lectures",,,,,0,,0,0
,1098,1,"DV1098,PD1098","Set: Precalculus, Understanding Calculus I & II","Set: Precalculus, Understanding Calculus I & II",,,,,United States,1098,2013,3240,9,108,0,902,902,,,,0,0,Enabled,No,,No,,,,"Set: Precalculus, Understanding Calculus I & II",,"Courses,Lectures",,,,,0,,0,0
,PD1101,1,"PD1100,PD1295,PD1500,PD153,PD1580,PD1700,PD1810",Biology; Einstein's Relativity,Biology; Einstein's Relativity,Biology; Einstein's Relativity and the Quantum Revolution; Joy of Science; Great Ideas of Classical Physics; Understanding the Brain; The Nature of Earth: An Introduction to Geology; & Understanding the Universe: An Introduction to Astronomy (Set),,,,United States,1101,0,10440,29,348,0,910,910,,,,0,0,Enabled,No,DVD,No,Biology; Einstein's Relativity and the Quantum Revolution; Joy of Science; Great Ideas of Classical Physics; Understanding the Brain; The Nature of Earth: An Introduction to Geology; & Understanding the Universe: An Introduction to Astronomy (Set),,,Biology; Einstein's Relativity,,"Courses,Lectures",,,,,0,,0,0
,1101,1,PD1101,Biology; Einstein's Relativity,Biology; Einstein's Relativity,Biology; Einstein's Relativity and the Quantum Revolution; Joy of Science; Great Ideas of Classical Physics; Understanding the Brain; The Nature of Earth: An Introduction to Geology; & Understanding the Universe: An Introduction to Astronomy (Set),,,,United States,1101,0,10440,29,348,0,910,910,,,,0,0,Enabled,No,,No,Biology; Einstein's Relativity and the Quantum Revolution; Joy of Science; Great Ideas of Classical Physics; Understanding the Brain; The Nature of Earth: An Introduction to Geology; & Understanding the Universe: An Introduction to Astronomy (Set),,,Biology; Einstein's Relativity,,"Courses,Lectures",,,,,0,,0,0
,PD1102,1,"PD1100,PD1423",Joy of Science & Joy of Thinking: The Beauty and Power of Cl,Joy of Science & Joy of Thinking: The Beauty and Power of Cl,,,,,United States,1102,0,0,7,0,0,0,910,,,,0,0,Enabled,No,DVD,No,,,,Joy of Science & Joy of Thinking: The Beauty and Power of Cl,,"Courses,Lectures",,,,,0,,0,0
,1102,1,PD1102,Joy of Science & Joy of Thinking: The Beauty and Power of Cl,Joy of Science & Joy of Thinking: The Beauty and Power of Cl,,,,,United States,1102,0,0,7,0,0,0,910,,,,0,0,Enabled,No,,No,,,,Joy of Science & Joy of Thinking: The Beauty and Power of Cl,,"Courses,Lectures",,,,,0,,0,0
,PD1103,1,"PD1100,PD1750",Set:The Joy of Science & How the Earth Works,Set:The Joy of Science & How the Earth Works,,,,,United States,1103,0,0,9,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set:The Joy of Science & How the Earth Works,,"Courses,Lectures",,,,,0,,0,0
,1103,1,PD1103,Set:The Joy of Science & How the Earth Works,Set:The Joy of Science & How the Earth Works,,,,,United States,1103,0,0,9,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set:The Joy of Science & How the Earth Works,,"Courses,Lectures",,,,,0,,0,0
,DV1104,1,"DV1100,DV1280",Joy of Science & Physics and Our Universe,Joy of Science & Physics and Our Universe,,,,,United States,1104,0,3600,10,120,0,910,910,,,,0,0,Enabled,No,Video Download,No,,,,Joy of Science & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,PD1104,1,"PD1100,PD1280",Joy of Science & Physics and Our Universe,Joy of Science & Physics and Our Universe,,,,,United States,1104,0,3600,10,120,0,910,910,,,,0,0,Enabled,No,DVD,No,,,,Joy of Science & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,1104,1,"DV1104,PD1104",Joy of Science & Physics and Our Universe,Joy of Science & Physics and Our Universe,,,,,United States,1104,0,3600,10,120,0,910,910,,,,0,0,Enabled,No,,No,,,,Joy of Science & Physics and Our Universe,,"Courses,Lectures",,,,,0,,0,0
,DA1106,1,"DA1100,DA153",Joy of Science & Einstein's Re,Joy of Science & Einstein's Re,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,,United States,1106,0,2520,7,84,10,910,910,,,,0,0,Enabled,No,Audio Download,No,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,Joy of Science & Einstein's Re,,"Courses,Lectures",,,,,0,,0,0
,DV1106,1,"DV1100,DV153",Joy of Science & Einstein's Re,Joy of Science & Einstein's Re,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,,United States,1106,0,2520,7,84,10,910,910,,,,0,0,Enabled,No,Video Download,No,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,Joy of Science & Einstein's Re,,"Courses,Lectures",,,,,0,,0,0
,PC1106,1,"PC1100,PC153",Joy of Science & Einstein's Re,Joy of Science & Einstein's Re,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,,United States,1106,0,2520,7,84,10,910,910,,,,0,0,Enabled,No,CD,No,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,Joy of Science & Einstein's Re,,"Courses,Lectures",,,,,0,,0,0
,PD1106,1,"PD1100,PD153",Joy of Science & Einstein's Re,Joy of Science & Einstein's Re,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,,United States,1106,0,2520,7,84,10,910,910,,,,0,0,Enabled,No,DVD,No,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,Joy of Science & Einstein's Re,,"Courses,Lectures",,,,,0,,0,0
,1106,1,"DA1106,DV1106,PC1106,PD1106",Joy of Science & Einstein's Re,Joy of Science & Einstein's Re,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,,United States,1106,0,2520,7,84,10,910,910,,,,0,0,Enabled,No,,No,"Rediscover the intellectual joy, wonder, and mystery that lie at the heart of science. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and above all, <em>enjoyable</em> introduction to the many marvels of science.</p><p>In <strong>Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition</strong>, award-winning Professor Richard Wolfson teaches the awe-inspiring concepts of modern physics in ways that anyone interested in learning can readily master. These 24 lectures study the two poles of modern physics: relativity on the grand scale and quantum m",,,Joy of Science & Einstein's Re,,"Courses,Lectures",,,,,0,,0,0
,PD1107,1,"PD1100,PD177",Joy of Science & Change and Mo,Joy of Science & Change and Mo,"Master the profoundly important fields of calculus and science in this illuminating course set. <strong>Change and Motion: Calculus Made Clear, 2nd Edition</strong> is crafted to make the key concepts and triumphs of this mathematical field accessible to nonmathematicians. Over the course of 24 lectures, award-winning Professor Michael Starbird teaches you how to grasp the power and beauty of calculus without the technical background traditionally required in calculus courses. As you follow the intellectual development of calculus, your appreciation of its inner workings will deepen, and your skill in seeing how it can solve a variety of problems will increase.</p><p>Then, rediscover the intellectual joy and wonder that lies at the heart of both science and mathematics. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's l",,,,United States,1107,0,2520,7,84,10,910,910,,,,0,0,Enabled,No,DVD,No,"Master the profoundly important fields of calculus and science in this illuminating course set. <strong>Change and Motion: Calculus Made Clear, 2nd Edition</strong> is crafted to make the key concepts and triumphs of this mathematical field accessible to nonmathematicians. Over the course of 24 lectures, award-winning Professor Michael Starbird teaches you how to grasp the power and beauty of calculus without the technical background traditionally required in calculus courses. As you follow the intellectual development of calculus, your appreciation of its inner workings will deepen, and your skill in seeing how it can solve a variety of problems will increase.</p><p>Then, rediscover the intellectual joy and wonder that lies at the heart of both science and mathematics. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's l",,,Joy of Science & Change and Mo,,"Courses,Lectures",,,,,0,,0,0
,1107,1,"PC1107,PD1107",Joy of Science & Change and Mo,Joy of Science & Change and Mo,"Master the profoundly important fields of calculus and science in this illuminating course set. <strong>Change and Motion: Calculus Made Clear, 2nd Edition</strong> is crafted to make the key concepts and triumphs of this mathematical field accessible to nonmathematicians. Over the course of 24 lectures, award-winning Professor Michael Starbird teaches you how to grasp the power and beauty of calculus without the technical background traditionally required in calculus courses. As you follow the intellectual development of calculus, your appreciation of its inner workings will deepen, and your skill in seeing how it can solve a variety of problems will increase.</p><p>Then, rediscover the intellectual joy and wonder that lies at the heart of both science and mathematics. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's l",,,,United States,1107,0,2520,7,84,10,910,910,,,,0,0,Enabled,No,,No,"Master the profoundly important fields of calculus and science in this illuminating course set. <strong>Change and Motion: Calculus Made Clear, 2nd Edition</strong> is crafted to make the key concepts and triumphs of this mathematical field accessible to nonmathematicians. Over the course of 24 lectures, award-winning Professor Michael Starbird teaches you how to grasp the power and beauty of calculus without the technical background traditionally required in calculus courses. As you follow the intellectual development of calculus, your appreciation of its inner workings will deepen, and your skill in seeing how it can solve a variety of problems will increase.</p><p>Then, rediscover the intellectual joy and wonder that lies at the heart of both science and mathematics. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's l",,,Joy of Science & Change and Mo,,"Courses,Lectures",,,,,0,,0,0
,PD1108,1,"PD1100,PD1411",Joy of Science & Joy of Mathem,Joy of Science & Joy of Mathem,"Rediscover the intellectual joy and wonder that lies at the heart of both science and mathematics. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and, above all, enjoyable introduction to the many marvels of science.</p><p>Take the same exciting approach to mathematics in <strong>The Joy of Mathematics</strong>. Discover the amazing utility of this exciting field in everything from science and engineering to finance, games of chance, and many other aspects of life. Taught by award-winning Professor Arthur T. Benjamin—a literal magician with numbers—these 24 l",,,,United States,1108,0,2520,7,84,0,910,910,,,,0,0,Enabled,No,DVD,No,"Rediscover the intellectual joy and wonder that lies at the heart of both science and mathematics. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and, above all, enjoyable introduction to the many marvels of science.</p><p>Take the same exciting approach to mathematics in <strong>The Joy of Mathematics</strong>. Discover the amazing utility of this exciting field in everything from science and engineering to finance, games of chance, and many other aspects of life. Taught by award-winning Professor Arthur T. Benjamin—a literal magician with numbers—these 24 l",,,Joy of Science & Joy of Mathem,,"Courses,Lectures",,,,,0,,0,0
,1108,1,PD1108,Joy of Science & Joy of Mathem,Joy of Science & Joy of Mathem,"Rediscover the intellectual joy and wonder that lies at the heart of both science and mathematics. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and, above all, enjoyable introduction to the many marvels of science.</p><p>Take the same exciting approach to mathematics in <strong>The Joy of Mathematics</strong>. Discover the amazing utility of this exciting field in everything from science and engineering to finance, games of chance, and many other aspects of life. Taught by award-winning Professor Arthur T. Benjamin—a literal magician with numbers—these 24 l",,,,United States,1108,0,2520,7,84,0,910,910,,,,0,0,Enabled,No,,No,"Rediscover the intellectual joy and wonder that lies at the heart of both science and mathematics. In <strong>The Joy of Science</strong>, award-winning Professor Robert M. Hazen provides you with a clear overview of the key principles underneath all of modern science, from Newton's laws of motion to the latest marvels of contemporary genetic research. These 60 lectures enhance your understanding of all the physical and biological sciences, including physics, biology, chemistry, and thermodynamics. This course is a comprehensive, integrated, and, above all, enjoyable introduction to the many marvels of science.</p><p>Take the same exciting approach to mathematics in <strong>The Joy of Mathematics</strong>. Discover the amazing utility of this exciting field in everything from science and engineering to finance, games of chance, and many other aspects of life. Taught by award-winning Professor Arthur T. Benjamin—a literal magician with numbers—these 24 l",,,Joy of Science & Joy of Mathem,,"Courses,Lectures",,,,,0,,0,0
,PC1109,1,"PC1100,PC1573",Biological Anthropology: An Ev,Biological Anthropology: An Ev,"<p>If you have ever wanted to know more about the physical world around you&#151;electricity, physics, geology, chemestry, genetics, even the weather&#151;the 60 lectures of <b>The Joy of Science</b> will help you form an enjoyable working acquaintance with everything from DNA to plate tectonics, acid rain, and volcanoes. Add to your overall scientific insight the 24-lecture course, <b>Biological Anthropology: An Evolutionary Perspective</b>, for a more focused look at the working theory of evolution and its relevance today.</p>",,,,United States,1109,0,2520,7,84,10,913,913,,,,0,0,Enabled,No,CD,No,"<p>If you have ever wanted to know more about the physical world around you&#151;electricity, physics, geology, chemestry, genetics, even the weather&#151;the 60 lectures of <b>The Joy of Science</b> will help you form an enjoyable working acquaintance with everything from DNA to plate tectonics, acid rain, and volcanoes. Add to your overall scientific insight the 24-lecture course, <b>Biological Anthropology: An Evolutionary Perspective</b>, for a more focused look at the working theory of evolution and its relevance today.</p>",,,Biological Anthropology: An Ev,,"Courses,Lectures",,,,,0,,0,0
,1109,1,PC1109,Biological Anthropology: An Ev,Biological Anthropology: An Ev,"<p>If you have ever wanted to know more about the physical world around you&#151;electricity, physics, geology, chemestry, genetics, even the weather&#151;the 60 lectures of <b>The Joy of Science</b> will help you form an enjoyable working acquaintance with everything from DNA to plate tectonics, acid rain, and volcanoes. Add to your overall scientific insight the 24-lecture course, <b>Biological Anthropology: An Evolutionary Perspective</b>, for a more focused look at the working theory of evolution and its relevance today.</p>",,,,United States,1109,0,2520,7,84,10,913,913,,,,0,0,Enabled,No,,No,"<p>If you have ever wanted to know more about the physical world around you&#151;electricity, physics, geology, chemestry, genetics, even the weather&#151;the 60 lectures of <b>The Joy of Science</b> will help you form an enjoyable working acquaintance with everything from DNA to plate tectonics, acid rain, and volcanoes. Add to your overall scientific insight the 24-lecture course, <b>Biological Anthropology: An Evolutionary Perspective</b>, for a more focused look at the working theory of evolution and its relevance today.</p>",,,Biological Anthropology: An Ev,,"Courses,Lectures",,,,,0,,0,0
,DV1111,1,"DV1110,DV1153",Set: Understanding Inventions & World's Greatest Structures,Set: Understanding Inventions & World's Greatest Structures,,,,,United States,1111,0,0,5,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,Set: Understanding Inventions & World's Greatest Structures,,"Courses,Lectures",,,,,0,,0,0
,PD1111,1,"PD1110,PD1153",Set: Understanding Inventions & World's Greatest Structures,Set: Understanding Inventions & World's Greatest Structures,,,,,United States,1111,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,Set: Understanding Inventions & World's Greatest Structures,,"Courses,Lectures",,,,,0,,0,0
,1111,1,"DV1111,PD1111",Set: Understanding Inventions & World's Greatest Structures,Set: Understanding Inventions & World's Greatest Structures,,,,,United States,1111,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,Set: Understanding Inventions & World's Greatest Structures,,"Courses,Lectures",,,,,0,,0,0
